rel	e1_loc	e1_type	e2_loc	e2_type	sent
Is_Member_Of_Family	48	Protein	1,2,3	Protein_Family	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Is_Member_Of_Family	29	Protein	1,2,3	Protein_Family	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Is_Member_Of_Family	56	Protein	1,2,3	Protein_Family	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Is_Member_Of_Family	59	Protein	1,2,3	Protein_Family	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Is_Member_Of_Family	104	Protein	1,2,3	Protein_Family	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers . Family members that are preferentially expressed in developmental contexts other than the flower have also been identified ( Rounsley et al . 1995 ) and include such factors as ANR1 , which plays a role in control of root architecture in response to nutrient availability ( Zhang and Forde 1998 ) , and FLOWERING LOCUS C , a recently identified repressor of flowering ( Michaels and Amasino 1999 ) .
Is_Member_Of_Family	0	Protein	10,11,12	Protein_Family	AGL15 ( AGAMOUS-like 15 ) is a member of the MADS domain family , a large , diverse family of regulatory factors .
Is_Member_Of_Family	128,129,130	Protein	1,2,3	Protein_Family	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers . Family members that are preferentially expressed in developmental contexts other than the flower have also been identified ( Rounsley et al . 1995 ) and include such factors as ANR1 , which plays a role in control of root architecture in response to nutrient availability ( Zhang and Forde 1998 ) , and FLOWERING LOCUS C , a recently identified repressor of flowering ( Michaels and Amasino 1999 ) .
Is_Member_Of_Family	55	Protein	1,2,3	Protein_Family	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/ AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Transcribes_Or_Translates_To	19	Gene	5,6,7	Protein_Family	The only members of the MADS domain family in Arabidopsis that are known to be expressed in embryos are AGL15 and AGL2 ( Flanagan and Ma 1994 ) .
Transcribes_Or_Translates_To	21	Gene	5,6,7	Protein_Family	The only members of the MADS domain family in Arabidopsis that are known to be expressed in embryos are AGL15 and AGL2 ( Flanagan and Ma 1994 ) .
Exists_In_Genotype	0,1	RNA	7	Genotype	AGL15 transcripts have been detected in young Arabidopsis seedlings by using in situ hybridization ( Rounsley et al . 1995 ) and in various tissues ( including flowers ) in Brassica by using RNA gel blot analyses ( Heck et al . 1995 ) .
Exists_In_Genotype	66,67	Protein_Family	11	Genotype	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Exists_In_Genotype	0,1	RNA	30	Genotype	AGL15 transcripts have been detected in young Arabidopsis seedlings by using in situ hybridization ( Rounsley et al . 1995 ) and in various tissues ( including flowers ) in Brassica by using RNA gel blot analyses ( Heck et al . 1995 ) .
Exists_In_Genotype	19	Gene	9	Genotype	The only members of the MADS domain family in Arabidopsis that are known to be expressed in embryos are AGL15 and AGL2 ( Flanagan and Ma 1994 ) .
Exists_In_Genotype	21	Gene	9	Genotype	The only members of the MADS domain family in Arabidopsis that are known to be expressed in embryos are AGL15 and AGL2 ( Flanagan and Ma 1994 ) .
Exists_In_Genotype	5,6,7	Protein_Family	9	Genotype	The only members of the MADS domain family in Arabidopsis that are known to be expressed in embryos are AGL15 and AGL2 ( Flanagan and Ma 1994 ) .
Exists_In_Genotype	104	Protein	11	Genotype	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers . Family members that are preferentially expressed in developmental contexts other than the flower have also been identified ( Rounsley et al . 1995 ) and include such factors as ANR1 , which plays a role in control of root architecture in response to nutrient availability ( Zhang and Forde 1998 ) , and FLOWERING LOCUS C , a recently identified repressor of flowering ( Michaels and Amasino 1999 ) .
Exists_In_Genotype	128,129,130	Protein	11	Genotype	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers . Family members that are preferentially expressed in developmental contexts other than the flower have also been identified ( Rounsley et al . 1995 ) and include such factors as ANR1 , which plays a role in control of root architecture in response to nutrient availability ( Zhang and Forde 1998 ) , and FLOWERING LOCUS C , a recently identified repressor of flowering ( Michaels and Amasino 1999 ) .
Exists_In_Genotype	1,2,3	Protein_Family	11	Genotype	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Exists_In_Genotype	0,1,2,3	Protein_Family	42	Genotype	MADS domain-containing regulatory factors are found in all eukaryotic organisms and play pivotal roles in regulating many different kinds of developmental events , including mating-type specification in yeast , muscle development in Drosophila and mammals , and responses to the environment in humans .
Exists_In_Genotype	48	Protein	11	Genotype	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Exists_In_Genotype	0,1,2,3	Protein_Family	34	Genotype	MADS domain-containing regulatory factors are found in all eukaryotic organisms and play pivotal roles in regulating many different kinds of developmental events , including mating-type specification in yeast , muscle development in Drosophila and mammals , and responses to the environment in humans .
Exists_In_Genotype	0,1,2,3	Protein_Family	27	Genotype	MADS domain-containing regulatory factors are found in all eukaryotic organisms and play pivotal roles in regulating many different kinds of developmental events , including mating-type specification in yeast , muscle development in Drosophila and mammals , and responses to the environment in humans .
Exists_In_Genotype	55	Protein	11	Genotype	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/ AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Exists_In_Genotype	34	Protein	11	Genotype	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Exists_In_Genotype	38	Protein	11	Genotype	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Exists_In_Genotype	45	Protein	11	Genotype	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Exists_In_Genotype	59	Protein	11	Genotype	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Exists_In_Genotype	29	Protein	11	Genotype	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Exists_In_Genotype	0,1,2,3	Protein_Family	32	Genotype	MADS domain-containing regulatory factors are found in all eukaryotic organisms and play pivotal roles in regulating many different kinds of developmental events , including mating-type specification in yeast , muscle development in Drosophila and mammals , and responses to the environment in humans .
Exists_In_Genotype	56	Protein	11	Genotype	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Is_Localized_In	2	Protein	15,16	Tissue	Specifically , AGL15 may play a role in controlling age-dependent developmental programs , particularly in reproductive tissues .
Is_Linked_To	43,44	Environmental_Factor	29	Protein	Family members that are preferentially expressed in developmental contexts other than the flower have also been identified ( Rounsley et al . 1995 ) and include such factors as ANR1 , which plays a role in control of root architecture in response to nutrient availability ( Zhang and Forde 1998 ) , and FLOWERING LOCUS C , a recently identified repressor of flowering ( Michaels and Amasino 1999 ) .
Regulates_Process	42	Genotype	37,38,39,40	Regulatory_Network	MADS domain-containing regulatory factors are found in all eukaryotic organisms and play pivotal roles in regulating many different kinds of developmental events , including mating-type specification in yeast , muscle development in Drosophila and mammals , and responses to the environment in humans .
Regulates_Development_Phase	34	Genotype	29,30	Development_Phase	MADS domain-containing regulatory factors are found in all eukaryotic organisms and play pivotal roles in regulating many different kinds of developmental events , including mating-type specification in yeast , muscle development in Drosophila and mammals , and responses to the environment in humans .
Regulates_Process	27	Genotype	24,25	Regulatory_Network	MADS domain-containing regulatory factors are found in all eukaryotic organisms and play pivotal roles in regulating many different kinds of developmental events , including mating-type specification in yeast , muscle development in Drosophila and mammals , and responses to the environment in humans .
Regulates_Development_Phase	11	Genotype	40,41	Development_Phase	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Regulates_Process	15,16	Tissue	9,10,11	Regulatory_Network	Specifically , AGL15 may play a role in controlling age-dependent developmental programs , particularly in reproductive tissues .
Regulates_Development_Phase	11	Genotype	23,24,25	Development_Phase	The MADS domain family consists of at least 36 members in Arabidopsis ( Liljegren et al . 1998 ) , including the well-known floral organ identity regulators AGAMOUS ( AG ) , APETALA3 ( AP3 ) , and PISTILLATA ; meristem identity regulators APETALA1 ( AP1 ) and CAULIFLOWER ; silique tissue identity regulators FRUITFULL/AGL8 , AGL1 , and AGL5 ; and a set of other AGL factors of unknown function expressed in flowers .
Regulates_Development_Phase	32	Genotype	29,30	Development_Phase	MADS domain-containing regulatory factors are found in all eukaryotic organisms and play pivotal roles in regulating many different kinds of developmental events , including mating-type specification in yeast , muscle development in Drosophila and mammals , and responses to the environment in humans .
